Time (s)	1 channel (Count/s)	2 channel (Count/s)	3 channel (Count/s)	Annotation
13052.00	7.5	0.5	8.0	ВВел что-то там	
13051.90	7.5	0.5	8.0	0.8750	
13051.80	12.0	0.5	12.5	-
13051.70	4.5	0.5	5.0	-	
13051.60	7.5	0.5	8.0	0.8750	
13051.50	8.0	0.5	8.5	-
13051.40	3.5	0.5	4.0	0.7500	
13051.30	9.5	0.5	10.0	0.90
13051.20	7.5	0.5	8.0	0.8750	
13051.10	9.5	0.5	10.0	0.90
13051.00	6.0	0.5	6.5	0.8462	
13050.90	10.0	0.5	10.5	-
13050.80	7.0	0.5	7.5	-
13050.70	5.5	0.5	6.0	0.8333	
13050.60	5.0	0.5	5.5	-
13050.50	6.0	0.5	6.5	0.8462	
13050.40	5.0	0.5	5.5	0.8182	
13050.30	9.0	0.5	9.5	0.8947	
13050.20	11.0	0.5	11.5	-
13050.10	6.5	0.5	7.0	0.8571	
13050.00	6.5	0.5	7.0	0.8571	
13049.90	8.0	0.5	8.5	0.8824	
13049.80	8.5	0.5	9.0	0.8889	
13049.70	7.5	0.5	8.0	0.8750	
